NER,Tag,Domain
More,I-MISC,0
Flask,B-MISC,0
Pydantic,B-MISC,1
XML,B-ORG,1
Ruby,B-MISC,0
Gateway,B-MISC,0
Endpoints,B-MISC,0
LaminiAI,B-PER,1
ElA,B-ORG,0
Space,B-ORG,0
Shakespearean,B-PER,0
LLAMA,B-ORG,1
PyPI,B-MISC,1
Kubeflow,B-ORG,0
MLflow,B-ORG,1
LinkedIn,B-ORG,0
Facebook,B-ORG,0
DatasetBalancer,B-MISC,0
JGGWAHIFJOLK,B-ORG,0
Mark,B-PER,0
Do,B-ORG,0
Palo,B-LOC,0
Alto,B-LOC,0
California,B-LOC,0
Context,B-MISC,0
Berkeley,B-ORG,0
NVIDIA,B-ORG,1
Meta,B-ORG,1
MLCommons,B-ORG,1
Baidu,B-ORG,0
Elon,B-ORG,0
4,B-MISC,0
Keys,B-MISC,0
GLUE,B-MISC,0
SuperGLUE,B-MISC,0
Answering,B-MISC,0
Dataset,B-MISC,0
SQuAD,B-MISC,1
Con,B-ORG,0
Pythonbrew,B-MISC,1
Dock,B-ORG,0
Great,B-LOC,0
Wall,B-LOC,0
China,B-LOC,0
TypeScript,B-MISC,1
GitHub,B-ORG,0
Partially,B-PER,0
Extractive,B-PER,0
Fine,B-PER,0
Tuning,B-PER,0
Jkndjwayxbujk,B-ORG,0
Tesla,B-ORG,0
